feature,importance
temperature_c,1.6743872994026763
vibration_rms_mms,1.4152137886700529
rolling_mean_temperature_c,0.5600292149534984
vibration_severity,0.40691550144931743
bearing_health_indicator,0.23645771623548842
rolling_mean_vibration_rms_mms,0.23594702455442965
efficiency_proxy,0.14645180824392118
vibration_peak_mms,0.125489538345897
rolling_std_vibration_rms_mms,0.10172870936524406
seal_condition_score,0.0630081036047997
rolling_std_temperature_c,0.06284734522812792
specific_power,0.04675884421042327
rolling_std_motor_speed_rpm,0.043498831450979124
pressure_ratio,0.040847247133437285
discharge_pressure_bar,0.0328987304373088
load_factor,0.03104411787954551
motor_power_kw,0.030991330546637205
rolling_std_efficiency_normalized,0.03021528482562507
rolling_mean_efficiency_normalized,0.029475575985162983
flow_rate_m3h,0.028525050119417233
suction_pressure_bar,0.026362478043781824
vibration_trend_slope,0.02532771538752103
rolling_mean_motor_speed_rpm,0.024016482731118834
bearing_condition_score,0.020566912082638163
motor_speed_rpm,0.020487325144533112
