feature,importance
efficiency_proxy,0.21190454473990072
pressure_ratio,0.021162003485837695
specific_power,0.01805765727840569
flow_rate_m3h,0.004238267804554364
motor_power_kw,0.00260353446498092
rolling_std_efficiency_normalized,0.00016638547689460406
rolling_mean_efficiency_normalized,0.00010949695729275782
discharge_pressure_bar,3.9250336498013277e-05
suction_pressure_bar,2.615913167658795e-05
rolling_std_motor_speed_rpm,1.9330598433672574e-05
rolling_std_temperature_c,1.8814288521271656e-05
vibration_severity,1.8687948437622804e-05
rolling_mean_vibration_rms_mms,1.8165188759553333e-05
rolling_std_vibration_rms_mms,1.588564530554379e-05
rolling_mean_temperature_c,1.4255789188101479e-05
bearing_health_indicator,1.380398584195094e-05
vibration_peak_mms,1.359906225583175e-05
rolling_mean_motor_speed_rpm,1.338780188015479e-05
vibration_rms_mms,1.2142142669513558e-05
temperature_c,1.2042414109957872e-05
motor_speed_rpm,1.1653893028270547e-05
load_factor,8.09956339363408e-06
vibration_trend_slope,4.613064977374935e-06
seal_condition_score,6.452496167682117e-07
bearing_condition_score,1.7191581559600434e-07
