feature,importance
age_severity,1.4232568500740195
thickness_loss_mm,1.2606307563744243
safety_margin_percent,0.03551167821603572
material_loss_percent,0.03299060190582675
corrosion_rate_mm_year,0.02210555356599188
risk_score,0.007541586192931793
pipe_size_mm,0.006124918734600382
pressure_thickness_ratio,0.006030500243349099
thickness_mm,0.004844605060410518
timestamp,0.004490485859051786
remaining_thickness_mm,0.003919429324839671
remaining_life_years,0.002448621846072992
loss_rate_severity,0.0014329751632965488
condition_predicted,0.000821700312720985
equipment_id,0.0004699972914919239
max_pressure_psi,2.3506914938758442e-05
material,0.0
time_years,0.0
grade,0.0
humidity_percent,0.0
ambient_temp_c,0.0
rainfall_mm,0.0
operating_speed_rpm,0.0
load_percent,0.0
operating_mode,0.0
