equipment_id,timestamp,material,grade,pipe_size_mm,thickness_mm,max_pressure_psi,time_years,thickness_loss_mm,material_loss_percent,condition,corrosion_rate_mm_year,remaining_thickness_mm,remaining_life_years,safety_margin_percent,pressure_thickness_ratio,loss_rate_severity,risk_score,condition_predicted,ambient_temp_c,humidity_percent,rainfall_mm,operating_speed_rpm,load_percent,operating_mode
PIPE-001,2021-12-31,Carbon Steel,ASTM A333 Grade 6,800,15.48,300,2,4.91,31.72,Moderate,2.455,10.57,2.4138492871690427,68.28165374677002,28.38221381267739,High,55.366403312089254,Moderate,,,,,,
PIPE-003,2023-12-31,PVC,ASTM A106 Grade B,800,22.0,150,4,7.32,33.27,Critical,1.83,14.68,4.415300546448087,66.72727272727272,10.217983651226158,High,46.2962300455757,Moderate,20.8,64.9,0.0,,,
PIPE-001,2026-12-30,Carbon Steel,API 5L X52,400,12.05,2500,7,6.32,52.45,Critical,0.9028571428571429,5.73,2.3425632911392404,47.551867219917014,436.3001745200698,Moderate,60.04304133245294,Moderate,,,,,,
PIPE-001,2038-12-27,Carbon Steel,API 5L X42,1500,38.72,1500,19,6.2,16.01,Critical,0.3263157894736842,32.519999999999996,64.06064516129031,83.98760330578511,46.12546125461255,Low,12.326666662386504,Normal,,,,,,
PIPE-004,2039-12-27,HDPE,API 5L X65,1500,24.32,1500,20,8.58,35.28,Critical,0.429,15.74,19.682983682983686,64.7203947368421,95.29860228716646,Low,24.102312804343278,Normal,,,,,,
PIPE-005,2030-12-29,Fiberglass,API 5L X52,600,16.75,600,11,5.21,31.1,Critical,0.47363636363636363,11.54,13.755278310940499,68.89552238805969,51.99306759098787,Low,25.766684797732303,Normal,,,,,,
PIPE-001,2025-12-30,Carbon Steel,ASTM A106 Grade B,200,9.94,1500,6,5.86,58.95,Critical,0.9766666666666667,4.079999999999999,1.1242320819112621,41.046277665995966,367.6470588235295,Moderate,64.2758651682564,Moderate,,,,,,
PIPE-001,2040-12-26,Carbon Steel,ASTM A106 Grade B,300,13.87,900,21,3.02,21.77,Moderate,0.1438095238095238,10.85,46.51291390728477,78.22638788752704,82.94930875576037,Low,15.279696422895505,Normal,,,,,,
PIPE-005,2038-12-27,Fiberglass,API 5L X65,150,8.86,300,19,2.47,27.88,Moderate,0.13,6.389999999999999,28.707692307692298,72.12189616252822,46.94835680751174,Low,14.578652719931323,Normal,,,,,,
PIPE-002,2020-12-31,Stainless Steel,ASTM A333 Grade 6,800,25.78,150,1,0.53,2.06,Normal,0.53,25.25,33.04905660377358,97.94414274631497,5.9405940594059405,Moderate,6.4655088678767045,Normal,,,,,,
PIPE-002,2032-12-28,Stainless Steel,ASTM A333 Grade 6,300,11.52,900,13,8.8,76.39,Critical,0.676923076923077,2.719999999999999,0.0,23.611111111111104,330.88235294117663,Moderate,68.50545299145298,Moderate,,,,,,
PIPE-003,2025-12-30,PVC,API 5L X65,1000,20.58,900,6,7.32,35.57,Critical,1.22,13.259999999999998,5.808196721311474,64.43148688046647,67.87330316742083,Moderate,43.93142929612847,Moderate,,,,,,
PIPE-002,2025-12-30,Stainless Steel,ASTM A106 Grade B,300,13.03,600,6,0.85,6.52,Normal,0.14166666666666666,12.18,58.38352941176471,93.47659247889486,49.26108374384236,Low,7.39409982773113,Normal,,,,,,
PIPE-004,2032-12-28,HDPE,ASTM A333 Grade 6,150,5.19,300,13,6.12,117.92,Critical,0.4707692307692308,-0.9299999999999997,0.0,-17.919075144508664,-322.5806451612904,Low,41.78591270672269,Moderate,,,,,,
PIPE-001,2026-12-30,Carbon Steel,API 5L X42,300,15.48,600,7,9.21,59.5,Critical,1.3157142857142858,6.27,1.2358306188925077,40.50387596899224,95.69377990430623,Moderate,59.92237673882526,Moderate,,,,,,
PIPE-005,2040-12-26,Fiberglass,API 5L X65,100,6.0,1500,21,7.01,116.83,Critical,0.3338095238095238,-1.0099999999999998,0.0,-16.833333333333332,-1485.1485148514855,Low,-47.15671004243285,Normal,,,,,,
PIPE-002,2027-12-30,Stainless Steel,ASTM A106 Grade B,600,10.56,1500,8,1.61,15.25,Normal,0.20125,8.950000000000001,28.730434782608697,84.75378787878789,167.59776536312847,Low,19.918885432537664,Normal,,,,,,
PIPE-003,2037-12-27,PVC,ASTM A333 Grade 6,300,10.87,900,18,0.04,0.37,Normal,0.0022222222222222222,10.83,3406.05,99.63201471941123,83.10249307479225,Low,6.383905522978832,Normal,,,,,,
PIPE-003,2041-12-26,PVC,ASTM A106 Grade B,100,7.21,600,22,3.16,43.83,Moderate,0.14363636363636365,4.05,13.137341772151897,56.171983356449374,148.14814814814815,Low,34.750137136210505,Normal,,,,,,
PIPE-001,2032-12-28,Carbon Steel,API 5L X42,100,5.49,900,13,4.23,77.05,Moderate,0.32538461538461544,1.2599999999999998,0.0,22.950819672131143,714.2857142857144,Low,65.22114123581338,Moderate,,,,,,
PIPE-002,2043-12-26,Stainless Steel,ASTM A106 Grade B,300,11.14,900,24,9.67,86.8,Critical,0.40291666666666665,1.4700000000000006,0.0,13.195691202872537,612.2448979591834,Low,69.41024386594853,Moderate,,,,,,
PIPE-001,2029-12-29,Carbon Steel,ASTM A106 Grade B,100,5.68,1500,10,7.59,133.63,Critical,0.759,-1.9100000000000001,0.0,-33.62676056338029,-785.3403141361256,Moderate,15.45916658063566,Normal,,,,,,
