equipment_id,timestamp,operating_speed_rpm,load_percent,operating_mode
BEARING_001,2022-01-01 07:00:00,1785.2,49.1,Running
BEARING_001,2022-01-05 11:00:00,1789.4,93.8,Running
BEARING_001,2022-01-06 08:00:00,1722.5,79.1,Idle
BEARING_001,2022-01-07 11:00:00,1655.5,51.3,Running
BEARING_001,2022-01-11 05:00:00,1838.4,57.9,Running
BEARING_001,2022-01-14 18:00:00,1862.2,96.4,Running
BEARING_001,2022-01-15 12:00:00,1657.7,91.4,Running
BEARING_001,2022-01-17 00:00:00,1765.2,56.5,Startup
BEARING_001,2022-01-21 20:00:00,1644.9,54.3,Running
BEARING_001,2022-01-23 05:00:00,1797.2,89.9,Running
BEARING_001,2022-01-24 02:00:00,1797.7,91.2,Running
BEARING_001,2022-01-24 20:00:00,1635.2,48.9,Running
BEARING_001,2022-01-27 05:00:00,1702.2,65.9,Running
BEARING_001,2022-01-30 04:00:00,1750.7,84.8,Running
BEARING_001,2022-01-31 01:00:00,1659.6,74.9,Running
BEARING_001,2022-02-01 01:00:00,1751.1,51.0,Running
BEARING_001,2022-02-03 19:00:00,1677.5,57.7,Running
BEARING_001,2022-02-05 16:00:00,1733.5,54.7,Running
BEARING_001,2022-02-05 20:00:00,1719.3,49.5,Running
BEARING_001,2022-02-07 11:00:00,1790.7,79.6,Running
BEARING_001,2022-02-07 23:00:00,1726.1,59.2,Running
BEARING_001,2022-02-08 02:00:00,1812.0,78.8,Startup
BEARING_001,2022-02-09 18:00:00,1789.9,51.5,Running
BEARING_001,2022-02-11 22:00:00,1644.2,48.3,Running
BEARING_001,2022-02-12 12:00:00,1599.3,50.5,Idle
BEARING_001,2022-02-12 14:00:00,1933.7,74.0,Running
BEARING_001,2022-02-14 15:00:00,1940.1,67.0,Running
BEARING_001,2022-02-15 20:00:00,1799.7,95.8,Running
BEARING_001,2022-02-17 14:00:00,1799.5,58.2,Startup
BEARING_001,2022-02-20 03:00:00,1877.5,65.6,Running
BEARING_001,2022-02-20 12:00:00,1703.3,68.5,Running
BEARING_001,2022-02-20 14:00:00,1839.7,77.6,Idle
BEARING_001,2022-02-22 01:00:00,1702.9,73.2,Running
BEARING_001,2022-02-22 11:00:00,1838.6,75.1,Startup
BEARING_001,2022-02-23 05:00:00,1628.8,71.0,Idle
BEARING_001,2022-02-25 01:00:00,1787.1,40.8,Running
BEARING_001,2022-02-25 10:00:00,1548.2,78.0,Running
BEARING_001,2022-02-26 03:00:00,1822.2,72.0,Running
BEARING_001,2022-02-28 10:00:00,1661.7,48.5,Idle
BEARING_001,2022-03-01 17:00:00,1705.4,90.4,Idle
BEARING_001,2022-03-05 08:00:00,1718.9,83.9,Running
BEARING_001,2022-03-07 15:00:00,1667.1,56.9,Idle
BEARING_001,2022-03-08 08:00:00,1673.1,65.2,Running
BEARING_001,2022-03-09 22:00:00,1917.0,92.1,Running
BEARING_001,2022-03-10 06:00:00,1814.2,92.5,Idle
BEARING_001,2022-03-10 22:00:00,1695.1,89.8,Running
BEARING_001,2022-03-11 13:00:00,1775.0,66.0,Running
BEARING_001,2022-03-12 07:00:00,1656.7,41.8,Running
BEARING_001,2022-03-14 07:00:00,1705.2,63.8,Running
BEARING_001,2022-03-15 18:00:00,1756.2,44.2,Running
BEARING_001,2022-03-18 12:00:00,1740.6,54.2,Running
BEARING_001,2022-03-19 02:00:00,1851.9,79.7,Running
BEARING_001,2022-03-23 09:00:00,1805.8,40.6,Running
BEARING_001,2022-03-25 03:00:00,1830.7,90.1,Running
BEARING_001,2022-03-27 05:00:00,1836.8,59.1,Running
BEARING_001,2022-03-27 07:00:00,1947.7,83.0,Running
BEARING_001,2022-03-30 23:00:00,1768.2,61.5,Running
BEARING_001,2022-03-31 09:00:00,1789.0,70.6,Running
BEARING_001,2022-04-01 06:00:00,1823.3,98.6,Running
BEARING_001,2022-04-02 04:00:00,1795.6,67.9,Startup
BEARING_001,2022-04-05 02:00:00,1696.5,57.4,Startup
BEARING_001,2022-04-05 07:00:00,1585.7,80.3,Running
BEARING_001,2022-04-06 13:00:00,1632.8,42.5,Running
BEARING_001,2022-04-07 11:00:00,1822.8,47.7,Startup
BEARING_001,2022-04-08 05:00:00,1824.1,64.7,Running
BEARING_001,2022-04-08 10:00:00,1820.0,50.1,Running
BEARING_001,2022-04-08 12:00:00,1847.4,60.5,Running
BEARING_001,2022-04-11 20:00:00,1744.5,47.3,Running
BEARING_001,2022-04-12 03:00:00,1912.8,84.9,Running
BEARING_001,2022-04-13 00:00:00,1681.4,51.3,Running
BEARING_001,2022-04-15 02:00:00,1743.4,50.3,Running
BEARING_001,2022-04-16 06:00:00,1699.8,64.7,Running
BEARING_001,2022-04-17 04:00:00,1694.9,60.6,Running
BEARING_001,2022-04-19 08:00:00,1660.4,51.8,Running
BEARING_001,2022-04-19 19:00:00,1615.6,41.5,Running
BEARING_001,2022-04-20 13:00:00,1935.3,59.1,Running
BEARING_001,2022-04-21 06:00:00,1750.2,89.5,Idle
BEARING_001,2022-04-23 01:00:00,1774.7,65.7,Running
BEARING_001,2022-04-25 21:00:00,1683.1,68.1,Running
BEARING_001,2022-04-27 02:00:00,1808.1,91.5,Running
BEARING_001,2022-04-27 06:00:00,1630.8,52.1,Running
BEARING_001,2022-04-27 20:00:00,1701.5,59.7,Idle
BEARING_001,2022-05-01 00:00:00,1913.6,59.9,Running
BEARING_001,2022-05-03 14:00:00,1636.4,54.3,Running
BEARING_001,2022-05-05 14:00:00,1699.0,46.2,Running
BEARING_001,2022-05-06 11:00:00,1928.5,75.1,Running
BEARING_001,2022-05-08 14:00:00,1655.5,44.9,Running
BEARING_001,2022-05-09 22:00:00,1777.2,50.0,Running
BEARING_001,2022-05-10 12:00:00,1709.7,93.0,Running
BEARING_001,2022-05-10 20:00:00,1792.5,98.6,Running
BEARING_001,2022-05-10 23:00:00,1619.4,70.4,Idle
BEARING_001,2022-05-11 01:00:00,1851.7,50.6,Running
BEARING_001,2022-05-11 03:00:00,1909.3,64.2,Running
BEARING_001,2022-05-11 13:00:00,1891.3,45.2,Running
BEARING_001,2022-05-13 22:00:00,1685.6,94.8,Idle
BEARING_001,2022-05-14 04:00:00,1744.7,52.0,Running
BEARING_001,2022-05-14 12:00:00,1630.1,69.0,Idle
BEARING_001,2022-05-16 06:00:00,1766.6,79.4,Running
BEARING_001,2022-05-17 19:00:00,1607.7,79.2,Running
BEARING_001,2022-05-18 01:00:00,1849.2,75.5,Running
BEARING_001,2022-05-20 01:00:00,1771.7,71.7,Running
BEARING_001,2022-05-20 14:00:00,1720.5,93.7,Running
BEARING_001,2022-05-23 03:00:00,1757.9,61.3,Running
BEARING_001,2022-05-24 00:00:00,1747.0,52.6,Running
BEARING_001,2022-05-24 09:00:00,1696.0,44.3,Running
BEARING_001,2022-05-27 17:00:00,1879.6,63.1,Running
BEARING_001,2022-05-27 20:00:00,1839.2,43.3,Running
BEARING_001,2022-05-28 08:00:00,1723.2,43.1,Idle
BEARING_001,2022-05-30 18:00:00,1743.4,77.8,Running
BEARING_001,2022-06-02 05:00:00,1857.7,86.0,Running
BEARING_001,2022-06-02 06:00:00,1783.9,61.2,Running
BEARING_001,2022-06-02 18:00:00,1655.5,42.9,Running
BEARING_001,2022-06-03 10:00:00,1639.4,47.9,Running
BEARING_001,2022-06-05 05:00:00,1595.9,44.9,Running
BEARING_001,2022-06-06 23:00:00,1646.7,77.0,Idle
BEARING_001,2022-06-08 06:00:00,1597.4,49.8,Running
BEARING_001,2022-06-09 13:00:00,1860.8,81.3,Running
BEARING_001,2022-06-10 02:00:00,1702.2,92.8,Startup
BEARING_001,2022-06-13 20:00:00,1566.3,97.1,Running
BEARING_001,2022-06-19 20:00:00,1927.1,41.9,Startup
BEARING_001,2022-06-22 03:00:00,1851.1,94.8,Running
BEARING_001,2022-06-23 20:00:00,1869.7,93.7,Running
BEARING_001,2022-06-24 08:00:00,1706.8,99.5,Running
BEARING_001,2022-06-25 01:00:00,1796.9,93.1,Running
BEARING_001,2022-06-25 11:00:00,1552.3,84.9,Running
BEARING_001,2022-06-26 16:00:00,1738.0,77.2,Idle
BEARING_001,2022-06-27 19:00:00,1751.0,92.5,Running
BEARING_001,2022-06-29 16:00:00,1810.7,85.4,Startup
BEARING_001,2022-07-01 01:00:00,1800.9,57.6,Running
BEARING_001,2022-07-01 14:00:00,1852.2,57.8,Running
BEARING_001,2022-07-02 22:00:00,1736.4,40.3,Running
BEARING_001,2022-07-03 07:00:00,1569.2,62.0,Running
BEARING_001,2022-07-07 01:00:00,1716.3,59.0,Running
BEARING_001,2022-07-10 16:00:00,1656.3,85.1,Idle
BEARING_001,2022-07-10 19:00:00,1698.7,40.4,Idle
BEARING_001,2022-07-11 07:00:00,1877.2,66.8,Running
